bowler_id,bowler_name,bowling_style,is_right_armed,career_deliveries,career_wide_rate,career_no_ball_rate,formats_played,career_avg_speed_kmh,career_speed_std,career_speed_min,career_speed_max,career_speed_q25,career_speed_q75,career_speed_samples,career_speed_cv,career_avg_pitch_x,career_avg_pitch_y,career_pitch_x_std,career_pitch_y_std,career_avg_stumps_x,career_avg_stumps_y,career_avg_lateral_swing,career_swing_std,career_traj_samples,dtype_pct_full,dtype_pct_full_toss,dtype_pct_good_length,dtype_pct_short,dtype_pct_short_of_length,dtype_pct_unknown,dtype_pct_yorker,avg_speed_death,avg_speed_mid,avg_speed_pp
1,MS Dhoni,MEDIUM_SEAM,1.0,31,0.03226,0.0,IPL_Men,119.62742,4.45352,112.3668,126.3492,116.1,123.5844,25.0,0.0372,-0.42052,7.107,0.24375,1.73034,-0.27404,0.73884,0.14648,0.12322,25.0,0.35484,0.0,0.32258,0.0,0.0,0.19355,0.12903,119.62742,127.43109,130.39351
3,Jade Dernbach,unknown,0.0,231,0.03896,0.0,IPL_Men,136.33232,8.07925,91.548,146.7144,135.6093,140.2758,192.0,0.0593,-0.38001,8.1347,0.24506,2.48922,-0.10649,0.88739,0.27352,0.21106,191.0,0.2684,0.01732,0.41126,0.00866,0.06926,0.13853,0.08658,134.74112,138.12408,138.06702
7,Murali Vijay,SEAM,0.0,75,0.04,0.0,IPL_Men,92.68591,5.78709,81.0108,105.6996,89.4996,96.6618,35.0,0.0624,0.04494,4.55876,0.45629,1.63054,0.07585,0.51509,0.03091,0.16403,34.0,0.10667,0.02667,0.01333,0.0,0.0,0.53333,0.32,124.25422,92.35512,94.67064
8,Ravichandran Ashwin,OFF_SPIN,1.0,19807,0.00762,0.0005,IPL_Men,86.27088,5.77265,57.348,143.1252,82.5012,89.9532,17141.0,0.0669,-0.09268,4.66106,0.29969,1.0778,0.0238,0.70308,0.11648,0.2493,17128.0,0.17878,0.00944,0.00268,5e-05,5e-05,0.10072,0.70828,85.63914,87.8335,88.09933
9,Ravindra Jadeja,ORTHODOX,0.0,16314,0.00417,0.00159,IPL_Men,91.59439,4.92511,69.5124,158.868,88.6428,94.2876,13700.0,0.0538,-0.00786,4.81291,0.31128,1.09911,-0.05905,0.67181,-0.05119,0.22778,13682.0,0.21619,0.00582,0.00362,6e-05,6e-05,0.12964,0.6446,90.95547,93.97226,92.24509
10,Shadab Jakati,SEAM,0.0,425,0.01412,0.00235,IPL_Men,88.21839,3.8094,77.382,99.4284,85.7268,90.5004,389.0,0.0432,-0.08242,5.26188,0.31881,1.56379,-0.07277,0.61299,0.00965,0.17371,385.0,0.40471,0.02824,0.02118,0.01176,0.0,0.08,0.45412,88.08609,88.10802,89.10475
14,Suresh Raina,OFF_SPIN,1.0,1504,0.01463,0.0,IPL_Men,90.55106,5.4909,66.1464,143.7804,87.0624,94.1922,1192.0,0.0606,0.00433,5.25797,0.25036,1.37718,0.01643,0.64547,0.0121,0.19088,1190.0,0.33444,0.01263,0.01729,0.0,0.0,0.17154,0.4641,89.49581,92.551,91.5931
15,Yo Mahesh,SEAM,0.0,61,0.08197,0.0,IPL_Men,129.02181,5.18003,112.2516,137.232,126.72,131.9814,51.0,0.0401,-0.21462,7.859,0.31928,2.07037,-0.15604,0.81012,0.05858,0.29996,50.0,0.37705,0.01639,0.42623,0.0,0.04918,0.08197,0.04918,130.40691,128.80145,128.92869
17,Ben Hilfenhaus,SEAM,1.0,390,0.03846,0.00769,IPL_Men,135.97049,8.36371,94.338,147.0312,135.2556,140.2344,326.0,0.0615,-0.16397,7.55632,0.25472,2.53884,-0.13822,0.80825,0.02575,0.23536,313.0,0.30513,0.03333,0.32051,0.00256,0.0641,0.1359,0.13846,133.68476,137.13626,136.89031
18,Doug Bollinger,SEAM,0.0,113,0.04425,0.0,IPL_Men,133.8266,7.79555,81.0324,142.4808,131.9364,137.8224,109.0,0.0583,0.09347,7.43073,0.25442,2.61081,-0.20288,0.83472,-0.29636,0.22509,104.0,0.24779,0.0354,0.39823,0.0,0.0354,0.07965,0.20354,129.18288,134.29675,136.12121
20,Michael Hussey,MEDIUM_SEAM,1.0,63,0.04762,0.0,IPL_Men,113.74957,3.45014,101.3616,118.548,112.4424,115.8984,39.0,0.0303,-0.21497,6.04505,0.35506,1.93019,-0.01864,0.88041,0.19633,0.26566,39.0,0.42857,0.01587,0.12698,0.0,0.0,0.0,0.42857,113.74957,127.43109,130.39351
21,Suraj Randiv,unknown,0.0,124,0.0,0.0,IPL_Men,85.12548,3.45843,73.9908,92.1384,82.4868,87.8724,123.0,0.0406,-0.17573,5.10707,0.23631,1.02003,0.04002,0.75042,0.21576,0.18741,123.0,0.3629,0.00806,0.0,0.0,0.0,0.0,0.62903,85.26397,84.67659,129.56412
22,Scott Styris,MEDIUM_SEAM,1.0,144,0.00694,0.0,IPL_Men,113.97033,7.66318,100.2888,130.986,108.4374,119.0466,132.0,0.0672,-0.10298,6.27406,0.16747,1.91321,0.02977,0.67526,0.13274,0.10368,132.0,0.5,0.02083,0.16667,0.0,0.00694,0.02778,0.27778,113.97033,127.43109,130.39351
23,Nuwan Kulasekara,FAST_SEAM,1.0,2624,0.02058,0.00267,IPL_Men,125.70099,5.37199,78.7104,144.0108,123.7212,127.9512,1883.0,0.0427,-0.22254,7.03763,0.29889,1.80273,0.01559,0.74774,0.23812,0.22505,1868.0,0.46799,0.00724,0.16082,0.00076,0.02134,0.24085,0.10099,124.68806,125.58301,126.74502
24,Faf du Plessis,LEG_SPIN,1.0,139,0.01439,0.0,IPL_Men,84.76957,3.88803,75.6576,93.006,81.9153,87.7014,136.0,0.0459,0.01187,4.72942,0.22958,1.46497,-0.06947,0.75989,-0.08134,0.1832,131.0,0.28777,0.02878,0.00719,0.0,0.0,0.05036,0.6259,84.76957,86.51212,88.8083
