delivery_id,format,match_id,delivery_str,innings,over_num,ball_in_over,bowler,bowler_id,bowling_style,right_armed_bowl,batter,batter_id,right_handed_bat,non_striker,non_striker_id,matchup,ball_speed_ms,ball_speed_kmh,pitch_x,pitch_y,stumps_x,stumps_y,field_x,field_y,lateral_swing,stumps_off_centre,pitch_off_centre,length_from_batter,delivery_type,height_class,ball_age_overs,ball_age_since_replacement,ball_id_within_innings,ball_phase,ball_type,is_new_ball_period,runs,batter_runs,bowler_runs,extras,is_wide,is_no_ball,is_leg_bye,is_bye,dismissal_details,batter_is_right,bowler_is_right,has_pitch_xy,has_stumps_xy,has_speed,has_trajectory,venue,city,country,match_date,temperature_c,humidity_pct,wind_speed_kmh,wind_direction_deg,cloud_cover_pct,precipitation_mm,pressure_hpa,pitch_type,pitch_condition,venue_join_confidence,weather_available,ball_num_seq
IPL_Men_2_1.1.1,IPL_Men,2,1.1.1,1,1,1,Lasith Malinga,211,FAST_SEAM,1.0,Faf du Plessis,24,1.0,Murali Vijay,7,RH_vs_RA,39.876,143.5536,0.237,4.412,0.161,0.658,5.0,5.0,-0.07599999999999998,0.161,0.237,15.708000000000002,yorker,hip,1.1666666666666667,1.1666666666666667,A,powerplay,Kookaburra_Pink,1,1.0,0,1,Wd,1,0,0,0,,True,True,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.1.2,IPL_Men,2,1.1.2,1,1,2,Lasith Malinga,211,FAST_SEAM,1.0,Faf du Plessis,24,1.0,Murali Vijay,7,RH_vs_RA,39.876,143.5536,-0.143,10.242,-0.264,1.253,48.0,40.0,-0.12100000000000002,0.264,0.143,9.878,good_length,chest,1.3333333333333333,1.3333333333333333,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,True,True,1,1,1,1,,,,,,,,,,,,,,,,1
IPL_Men_2_1.1.3,IPL_Men,2,1.1.3,1,1,3,Lasith Malinga,211,FAST_SEAM,1.0,Faf du Plessis,24,1.0,Murali Vijay,7,RH_vs_RA,38.889,140.0004,-0.065,8.693,-0.06,0.776,87.0,57.0,0.0050000000000000044,0.06,0.065,11.427000000000001,good_length,hip,1.5,1.5,A,powerplay,Kookaburra_Pink,1,3.0,3,3,,0,0,0,0,,True,True,1,1,1,1,,,,,,,,,,,,,,,,2
IPL_Men_2_1.1.4,IPL_Men,2,1.1.4,1,1,4,Lasith Malinga,211,FAST_SEAM,1.0,Murali Vijay,7,0.0,Faf du Plessis,24,LH_vs_RA,39.901,143.64360000000002,-0.196,8.27,-0.273,0.697,33.0,27.0,-0.07700000000000001,0.273,0.196,11.850000000000001,good_length,hip,1.6666666666666665,1.6666666666666665,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,3
IPL_Men_2_1.1.5,IPL_Men,2,1.1.5,1,1,5,Lasith Malinga,211,FAST_SEAM,1.0,Murali Vijay,7,0.0,Faf du Plessis,24,LH_vs_RA,39.339,141.6204,-0.083,9.085,-0.097,0.916,0.0,0.0,-0.013999999999999999,0.097,0.083,11.035,good_length,waist,1.8333333333333335,1.8333333333333335,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,run out (Ambati Rayudu),False,True,1,1,1,1,,,,,,,,,,,,,,,,4
IPL_Men_2_1.1.6,IPL_Men,2,1.1.6,1,1,6,Lasith Malinga,211,FAST_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,40.144,144.51839999999999,0.019,1.607,0.002,0.178,40.0,38.0,-0.017,0.002,0.019,18.513,full_toss,below_knee,2.0,2.0,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,5
IPL_Men_2_1.1.7,IPL_Men,2,1.1.7,1,1,7,Lasith Malinga,211,FAST_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,39.544,142.3584,0.151,10.49,0.461,1.441,80.0,19.0,0.31000000000000005,0.461,0.151,9.63,good_length,chest,2.166666666666667,2.166666666666667,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,6
IPL_Men_2_1.2.1,IPL_Men,2,1.2.1,1,2,1,Abu Nechim,98,MEDIUM_SEAM,1.0,Suresh Raina,14,0.0,Murali Vijay,7,LH_vs_RA,,,0.215,9.211,0.709,0.891,76.0,18.0,0.494,0.709,0.215,10.909,good_length,waist,2.1666666666666665,2.1666666666666665,A,powerplay,Kookaburra_Pink,1,1.0,1,1,,0,0,0,0,,False,True,1,1,0,0,,,,,,,,,,,,,,,,1
IPL_Men_2_1.2.2,IPL_Men,2,1.2.2,1,2,2,Abu Nechim,98,MEDIUM_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,37.636,135.48960000000002,0.139,8.359,0.562,0.741,5.0,5.0,0.42300000000000004,0.562,0.139,11.761000000000001,good_length,hip,2.3333333333333335,2.3333333333333335,A,powerplay,Kookaburra_Pink,1,1.0,0,1,Wd,1,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,2
IPL_Men_2_1.2.3,IPL_Men,2,1.2.3,1,2,3,Abu Nechim,98,MEDIUM_SEAM,1.0,Murali Vijay,7,0.0,Suresh Raina,14,LH_vs_RA,38.135,137.286,-0.47,10.987,-0.468,1.076,32.0,36.0,0.0019999999999999463,0.468,0.47,9.133000000000001,good_length,waist,2.5,2.5,A,powerplay,Kookaburra_Pink,1,0.0,0,0,,0,0,0,0,,False,True,1,1,1,1,,,,,,,,,,,,,,,,2
