Player,Total
Sachin Tendulkar,100
Virat Kohli,85
Ricky Ponting,71
Kumar Sangakkara,63
Jacques Kallis,62
Joe Root,61
Hashim Amla,55
Mahela Jayawardene,54
Brian Lara,53
Rohit Sharma,51
David Warner,49
Steve Smith,49
Rahul Dravid,48
Kane Williamson,48
AB de Villiers,47
Chris Gayle,42
Sanath Jayasuriya,42
Shivnarine Chanderpaul,41
Younis Khan,41
Matthew Hayden,40
Ross Taylor,40
Tillakaratne Dilshan,39
Mohammad Yousuf,39
Alastair Cook,38
Sourav Ganguly,38
Virender Sehwag,38
Mark Waugh,38
Graeme Smith,37
Michael Clarke,36
Sunil Gavaskar,35
Herschelle Gibbs,35
Desmond Haynes,35
Inzamam-ul-Haq,35
Viv Richards,35
