bowler,bowling_style,total_deliveries,avg_speed,speed_variability,avg_swing,speed_rank,swing_rank
Shaun Tait,SEAM,571,143.85,4.9,0.138,1,272
Umran Malik,FAST_SEAM,75,142.97,6.81,-0.013,2,530
Tino Best,,634,142.75,6.3,0.308,3,13
Anrich Nortje,FAST_SEAM,1511,141.54,6.41,0.134,4,277
Lockie Ferguson,FAST_SEAM,2345,141.35,7.59,0.225,5,98
Mitchell Starc,FAST_SEAM,14907,141.31,5.19,-0.094,6,603
Billy Stanlake,,509,141.03,5.07,0.206,7,125
Naseem Shah,FAST_SEAM,338,140.88,3.51,0.104,8,342
Mitchell Johnson,FAST_SEAM,9063,140.55,6.28,-0.108,9,608
Adam Milne,FAST_SEAM,2013,140.39,8.41,0.208,10,120
Mohammad Hasnain,FAST_SEAM,253,140.37,4.38,0.143,11,258
Olly Stone,FAST_SEAM,312,140.07,4.7,0.142,12,263
Shannon Gabriel,FAST_SEAM,9312,140.05,5.01,0.193,13,161
Navdeep Saini,FAST_SEAM,799,139.9,6.72,0.243,14,69
Marchant de Lange,SEAM,281,139.83,5.15,0.168,15,216
Brett Lee,FAST_SEAM,644,139.59,6.83,0.097,16,356
Bilawal Bhatti,,420,139.45,4.72,0.353,17,8
Oshane Thomas,FAST_SEAM,825,139.44,5.86,0.163,18,223
Pat Cummins,FAST_SEAM,9148,139.42,6.18,0.238,19,75
Shoaib Akhtar,FAST_SEAM,151,139.39,8.56,0.196,20,151
Morne Morkel,FAST_SEAM,12688,139.2,5.05,0.124,21,301
Mark Wood,FAST_SEAM,5748,139.15,5.66,0.19,22,175
Dirk Nannes,SEAM,126,139.07,4.04,-0.407,23,690
Jofra Archer,FAST_SEAM,2830,139.04,8.48,0.1,24,351
Wahab Riaz,FAST_SEAM,7442,138.93,6.63,-0.06,25,574
Varun Aaron,SEAM,1180,138.84,8.54,0.102,26,348
Ryan Harris,SEAM,183,138.62,3.65,0.19,27,171
Dale Steyn,FAST_SEAM,11239,138.39,5.81,0.074,28,404
Umesh Yadav,FAST_SEAM,11348,138.34,6.33,0.131,29,286
Kagiso Rabada,FAST_SEAM,13014,138.3,5.75,0.206,30,129
Riley Meredith,FAST_SEAM,108,138.26,8.13,0.194,31,157
Hamid Hassan,FAST_SEAM,566,138.21,6.22,0.119,32,310
Lahiru Kumara,FAST_SEAM,3977,137.95,5.35,0.23,33,86
Andy McKay,,61,137.65,5.03,-0.341,34,687
Saqib Mahmood,FAST_SEAM,169,137.63,3.84,0.228,35,90
Ajmal Shahzad,,115,137.6,3.39,0.11,36,332
James Pattinson,FAST_SEAM,3075,137.56,6.27,0.21,37,117
Dhammika Prasad,,499,137.51,4.25,0.191,38,169
Kartik Tyagi,FAST_SEAM,334,137.5,5.59,0.189,39,181
Mohammad Shami,FAST_SEAM,14612,137.23,5.08,0.088,40,376
Pawan Suyal,SEAM,107,137.22,4.42,-0.184,41,650
Jerome Taylor,FAST_SEAM,3949,137.05,5.93,0.073,42,405
Mohammad Irfan,,2970,137.01,6.79,-0.305,43,685
Dushmantha Chameera,,1053,136.89,6.54,0.06,44,430
Wayne Parnell,SEAM,2092,136.69,5.38,-0.118,45,622
Sean Abbott,FAST_SEAM,62,136.67,5.73,0.078,46,395
Prasidh Krishna,MEDIUM_SEAM,955,136.67,10.18,0.226,47,95
Ehsan Adil,,168,136.67,3.66,0.192,48,164
Shaheen Afridi,FAST_SEAM,2340,136.54,5.18,-0.175,49,644
Chris Jordan,FAST_SEAM,3645,136.52,6.63,0.223,50,100
Mohammed Siraj,MEDIUM_SEAM,1298,136.21,7.39,0.262,51,40
Chris Morris,FAST_SEAM,4389,136.18,6.42,0.211,52,116
KM Asif,MEDIUM_SEAM,52,136.09,8.94,0.318,53,11
Mohammad Talha,,126,136.07,6.03,0.14,54,265
Sandeep Warrier,MEDIUM_SEAM,106,135.97,5.55,0.213,55,115
Ben Hilfenhaus,SEAM,390,135.97,8.36,0.019,56,481
Kamlesh Nagarkoti,MEDIUM_SEAM,172,135.92,8.3,0.288,57,23
Hamish Bennett,MEDIUM_SEAM,396,135.79,8.87,0.307,58,14
Tushar Deshpande,SEAM,110,135.75,8.12,0.229,59,89
Nathan Coulter-Nile,FAST_SEAM,2574,135.7,7.01,0.19,60,176
Usman Shinwari,MEDIUM_SEAM,817,135.65,5.24,-0.127,61,629
Shivam Mavi,FAST_SEAM,545,135.59,9.3,0.258,62,45
Jasprit Bumrah,FAST_SEAM,9025,135.58,8.15,0.259,63,42
Veer Pratap Singh,SEAM,211,135.47,4.76,0.196,64,149
Parvinder Awana,SEAM,774,135.38,5.49,0.193,65,160
Umar Gul,FAST_SEAM,1661,135.32,6.83,0.195,66,153
