model,n_features,target,mae_m,rmse_m,r2,n_test
M1_traj_only,10,stumps_x,0.16171,0.22098,0.6034,145437
M1_traj_only,10,stumps_y,0.11351,0.16002,0.7495,145437
M2_plus_venue,21,stumps_x,0.16168,0.22097,0.6034,145437
M2_plus_venue,21,stumps_y,0.1135,0.16002,0.7495,145437
M3_plus_pitch,14,stumps_x,0.16168,0.22099,0.6033,145437
M3_plus_pitch,14,stumps_y,0.11356,0.16007,0.7493,145437
M4_plus_weather,16,stumps_x,0.16172,0.221,0.6033,145437
M4_plus_weather,16,stumps_y,0.11352,0.16005,0.7494,145437
M5_plus_ball_age,18,stumps_x,0.15922,0.21878,0.6112,145437
M5_plus_ball_age,18,stumps_y,0.11427,0.16122,0.7457,145437
M6_plus_ball_state,21,stumps_x,0.15215,0.20934,0.6441,145437
M6_plus_ball_state,21,stumps_y,0.10479,0.14892,0.783,145437
M7_plus_bowler,19,stumps_x,0.1372,0.19228,0.6997,145437
M7_plus_bowler,19,stumps_y,0.10684,0.15161,0.7751,145437
M8_all_context,51,stumps_x,0.13357,0.18702,0.7159,145437
M8_all_context,51,stumps_y,0.10078,0.14377,0.7978,145437
M12_plus_ball_type,18,stumps_x,0.15915,0.21874,0.6114,145437
M12_plus_ball_type,18,stumps_y,0.1142,0.16116,0.7459,145437
