bowler_name,bowler_style,batter_name,batter_hand,venue_name,pitch_wear,over_phase,ball_outcome,pace,angle,wicket_prob,delivery_type
"Jasprit Bumrah","Right-arm fast","Joe Root","Right","Lord's",0.3,"Middle",0,142,"Over the wicket",0.12,"Inswinger"
"Jasprit Bumrah","Right-arm fast","Joe Root","Right","Lord's",0.3,"Middle",1,139,"Over the wicket",0.05,"Yorker"
"Ravichandran Ashwin","Right-arm offbreak","Steve Smith","Right","MA Chidambaram",0.8,"Death",0,88,"Round the wicket",0.25,"Offbreak"
"Ravichandran Ashwin","Right-arm offbreak","Steve Smith","Right","MA Chidambaram",0.8,"Death",1,92,"Round the wicket",0.15,"Carrom Ball"
"Mitchell Starc","Left-arm fast","Rohit Sharma","Right","Wankhede",0.2,"Powerplay",0,145,"Over the wicket",0.30,"Inswinger"
"Mitchell Starc","Left-arm fast","Rohit Sharma","Right","Wankhede",0.2,"Powerplay",1,148,"Over the wicket",0.08,"Yorker"
"Rashid Khan","Legbreak googly","Virat Kohli","Right","Narendra Modi Stadium",0.5,"Middle",0,95,"Over the wicket",0.18,"Googly"
"Rashid Khan","Legbreak googly","Virat Kohli","Right","Narendra Modi Stadium",0.5,"Middle",1,97,"Over the wicket",0.10,"Legbreak"
"Trent Boult","Left-arm fast","Shubman Gill","Right","Eden Gardens",0.4,"Powerplay",0,138,"Over the wicket",0.22,"Inswinger"
"Trent Boult","Left-arm fast","Shubman Gill","Right","Eden Gardens",0.4,"Powerplay",1,141,"Over the wicket",0.05,"Bouncer"
"Pat Cummins","Right-arm fast","Babar Azam","Right","MCG",0.2,"Middle",0,143,"Over the wicket",0.14,"Outswinger"
"Pat Cummins","Right-arm fast","Babar Azam","Right","MCG",0.2,"Middle",1,140,"Over the wicket",0.09,"Cutter"
"Asitha Fernando","Right-arm medium-fast","Shubman Gill","Right","Sinhalese Sports Club",0.6,"Middle",0,135,"Over the wicket",0.15,"Inswinger"
"Asitha Fernando","Right-arm medium-fast","Shubman Gill","Right","Sinhalese Sports Club",0.6,"Middle",1,132,"Over the wicket",0.10,"Outswinger"
